Document Name,Prompt,Response
Commercial Court Acts,information from commercial court acts,1 the commercial courts act 2015 arrangement of sections chapter i preliminary sections 1 short title extent and commencement 2 definitions chapter ii constitution of commercial courts commercial divisions and c ommercial appellate divisions 3 constitution of commercial courts 3 a designation of commercial appellate courts 4 constitution of commercial division of high court
Commercial Court Acts,information from commercial court acts,5 constitution of commercial appellate division 6 jurisdiction of commercial court 7 jurisdiction of commercial divisions of high courts 8 bar against revision application or petition against an interlocutory order bar 9 transfer of suit if counterclaim in a commercial dispute is of specified value 10 j uris diction in respect of arbitration matters 11 bar of jurisdiction
Commercial Court Acts,information from commercial court acts,Of commercial courts and commercial divisions chapter iii specified value 12 determination of specified value chapter iii a pre institution mediation and settlement 12 a preinst I ution mediation and settlement chapter iv appeals 13 appeals from decrees of commercial courts and commercial divisions 14 expeditious disposal of appeals chapter v transfer of pending suits 15
Commercial Court Acts,information from commercial court acts,Transfer of pending cases chapter vi amendments to the provisions of the code of civil procedure 190816 a mendments to the code of civil procedure 1908 i n its application to commercial disputes chapter vii miscellaneous 17 collection and disclosure of data by commercial courts commercial divisions and commercial appellate divisions 18 power of high court to issue directions 19 infrastructure facilities
Commercial Court Acts,information from commercial court acts,20 training and continuous education 21 act to have overriding effect 21 a power of central government to make rules 22 power to remove difficulties 2 sections 23 repeal and savings schedule 3 the commercial courts act 2015 a ctno 4 of 201631 stdecember 2015 an act to provide for the constitution of commercial courts 1 commercial appellate courts
Commercial Court Acts,information from commercial court acts,Commercial division and commercial appellate division in the high courts for adjudicating commercial disputes of specified value and matters connected there with or incidental there to be it enacted by parliament in the sixty sixth year of the republic of india as follows chapter I preliminary 1 short title extent and commencement 2 1 this act may be called the commercial courts act 20152 it extends to the whole of india 3
Commercial Court Acts,information from commercial court acts,3 it shall be deemed to have come into force on the 23 rddayofoctober 20152 definitions 1 in this act unless the context otherwise requires 4 a means the commercial appellate courts designated under section 3 a 5 aa court constituted under subsection 1 ofsection 5 b court constituted under subsection 1 ofsection 3 ci
Commercial Court Acts,information from commercial court acts,Ordinary transactions of merchants bankers financiers and traders such as those relating to mercantile documents including enforcement and interpretation of such documents ii export or import of merchandise or services iii issues relating to admiralty and maritime law iv transactions relating to aircraft aircraft engines aircraft equipment and helicopters including sales leas
Commercial Court Acts,information from commercial court acts,Ing and financing of the same v carriage of goods vi construction and infrastructure contracts including tenders vii agreements relating to immovable property used exclusively in trade or commerce viii franchising agreement six distribution and licensing agreements x management and consultancy agreements xi joint venture agreements Xii Shareholders agreements 1
Commercial Court Acts,information from commercial court acts,Insbyact 2 8 o f 2018 s 2 w ef 3520182 subsbys 3 ibid for subsection 1 wef 3520183 wef 311020194 insbyact 2 8 o f 2018 s 4 w ef 3520185 clause are numbered as clause aa by s 4 ibidwef 3520184 xiii subscription and investment agreements pertaining to the services industry including
Commercial Court Acts,information from commercial court acts,Outsourcing services and financial services xiv mercantile agency and mercantile usage xv partnership agreements xvi technology development agreements xvii intellectual property rights relating to registered and unregistered trademarks copyright patent design domain names geographical indications and semiconductor integrated circuits xviii
Commercial Court Acts,information from commercial court acts,Agreements for sale of goods or provision of services xix exploitation of oil and gas reserves or other natural resources including electromagnetic spectrum xx insurance and reinsurance xxi contracts of agency relating to any of the above and xxii such other commercial disputes as may be notified by the central government explanation
Commercial Court Acts,information from commercial court acts,A commercial dispute shall not cease to be a commercial dispute merely because a it also involves action for recovery of immovable property or for realisation of monies out of immovable property given as security or involves any other relief pertaining to immovable property bone of the contracting parties is the state or any of its agencies or instrumentalities or
Commercial Court Acts,information from commercial court acts,A private body carrying out public function sd subsection 1 ofsection 4 eign ed to it in clause a of article 236 of the constitution of india f figures or marks or electronic means or by more than one of those means intended to be used or which may be used for the purpose of recording that matter ghi matter in respect of a suit as determined in accordance with section 121
Commercial Court Acts,information from commercial court acts,Which shall not be less than three lakh rupees or such higher value as may be notified by the central government 2 the words and expressions used and not defined in this act but defined in the code of civil procedure 19085 of 1908 and the indian evidence act 18721 of 1872 shall have the same meanings respectively assigned to them in that code and the act 1 subsbyact 2 8 o f 2 018 s 4 Which
Commercial Court Acts,information from commercial court acts,Shall not be less than one cr re rupees 5 20185 chapterii 1 commercial courts commercial appellate courts commercial divisions and commercial appellate divisions 3 constitution of commercial courts 1 the state government may after consultation with the concerned high court by notification constitute such number of commercial courts at district level as
Commercial Court Acts,information from commercial court acts,It may deem necessary for the purpose of exercising the jurisdiction and powers conferred on those courts under this act 2 provided that with respect to the high court shaving ordinary original civil jurisdiction the state government may after consultation with the concerned high court by notification constitute commercial courts at the district judge level
Commercial Court Acts,information from commercial court acts,Provided further that with respect to a territory over which the high courts have ordinary original civil jurisdiction the state government may by notification specify such pecuniary value which shall not be less than three lakh rupees and not more than the pecuniary jurisdiction exercisable by the district courts as it may consider necessary 31 a
Commercial Court Acts,information from commercial court acts,Notwithstanding anything contained in this act the state government may after consultation with the concerned high court by notification specify such pecuniary value which shall not be less than three lakh rupees or such higher value for whole or part of the state as it may consider necessary 2 the state government shall after consultation with the concerned high court specify by
Commercial Court Acts,information from commercial court acts,Notification the local limits of the area to which the jurisdiction of a commercial court shall extend and may from time to time increase reduce or alter such limits 3 the 4 state government may with the concurrence of the chief justice of the high court appoint one or more persons having experience in dealing with commercial disputes to be the judge or judges of a 5
Commercial Court Acts,information from commercial court acts,Commercial court either at the level of district judge or a court below the level of a district judge 6 3 a designation of commercial appellate courts except the territories over which the high courts have ordinary original civil jurisdiction the state government may after consultation with the concerned high court by notification designate such number of commercial appellate courts at district
Commercial Court Acts,information from commercial court acts,Judge level as it may deem necessary for the purposes of exercising the jurisdiction and powers conferred on those courts under this act 4 constitution of commercial division of high court 1 in all high court shaving 7 ordinary original civil jurisdiction the chief justice of the high court may by order constitute commercial
Commercial Court Acts,information from commercial court acts,Division having one or more benches consisting of a single judge for the purpose of exercising the jurisdiction and powers conferred on it under this act 2 the chief justice of the high court shall nominate such judges of the high court who have experience in dealing with commercial disputes to be judges of the commercial division 5 constitution of commercial appellate division 1 after issuing notification under sub
Commercial Court Acts,information from commercial court acts,Section 1 ofsection 3 or order under subsection 1 ofsection 4 the chief justice of the concerned high court shall by order constitute commercial appellate division having one or more division benches for the purpose of exercising the jurisdiction and powers conferred on it by the act 2 the chief justice of the high court shall nominate such judges of the high court who have
Commercial Court Acts,information from commercial court acts,Experience in dealing with commercial disputes to be judges of the commercial appellate division 1 subsbyact 2 8 o f 2 018 s 5 for constitution of commercial courts commercial divisions and commercial appellate divisions we f 3520182 the proviso subs by s 6 ibidwef 3520183 insbys 6 ibidwef 3520184 subsbys 6 ibid 5 2018
Commercial Court Acts,information from commercial court acts,5 s ubsbys 6 ibid commercial court from amongst the cadre of higher judicial service in the state we f 3520186 insbys 7 ibidwef 3520187 subsbys 8 ibid 5 201866 jurisdiction of commercial court the commercial court shall have jurisdiction to try all suits
Commercial Court Acts,information from commercial court acts,And applications relating to a commercial dispute of a specified value arising out of the entire territory of the state over which it has been vested territorial jurisdiction explanation for the purposes of this section a commercial dispute shall be considered to arise out of the entire territory of the state over which a commercial court has been vested jurisdiction if the suit or applicat
Commercial Court Acts,information from commercial court acts,Ion relating to such commercial dispute has been instituted as per the provisions of sections 16 t o 20 of the code of civil procedure 19085 of 19087 jurisdiction of commercial divisions of high courts all suits and applications relating to commercial disputes of a specified value filed in a high court having ordinary original civil jurisdiction shall be heard and disposed of by the commerc I
Commercial Court Acts,information from commercial court acts,Al division of that high court provided that all suits and applications relating to commercial disputes stipulated by an act to lie in a court not inferior to a district court and filed or pending on the original side of the high court shall be heard and disposed of by the commercial division of the high court provided further that all suits and applications transferred to the high court by virtue of sub
Commercial Court Acts,information from commercial court acts,Section 4 ofsection 22 ofthedesignsact 200016 of 2000 orsection 104 ofthepatentsact 197039 of 1970 shall be heard and disposed of by the commercial division of the high court in all the areas over which the high court exercises ordinary original civil jurisdiction 8 bar against revision application or petition against an interlocutory order notwithstanding
Commercial Court Acts,information from commercial court acts,Anything contained in any other law for the time being in force no civil revision application or petition shall be entertained against any interlocutory order of a commercial court including an order on the issue of jurisdiction and any such challenge subject to the provisions of section 13 shall be raised only in an appeal against the decree of the commercial court 9
Commercial Court Acts,information from commercial court acts,Transfer of suit if counterclaim in a commercial dispute is of specified value omitted by the commercial courts commercial division and commercial appellate division of high courts amendment act 201828 of 2018 s 9 wef 3 5201810 jurisdiction in respect of arbitration matters where the subject matter of an arbitration is a commercial dispute of a specified value and 1
Commercial Court Acts,information from commercial court acts,If such arbitration is an international commercial arbitration all applications or appeals arising out of such arbitration under the provisions of the arbitration and conciliation act 199626 of 1996 t hat have been filed in a high court shall be heard and disposed of by the commercial division where such commercial division has been constituted in such high court 2
Commercial Court Acts,information from commercial court acts,If such arbitration is other than an international commercial arbitration all applications or appeals arising out of such arbitration under the provisions of the arbitration and conciliation act 199626 of 1996 that have been filed on the original side of the high court shall be heard and disposed of by the commercial division where such commercial division has been constituted in such high court 3
Commercial Court Acts,information from commercial court acts,If such arbitration is other than an international commercial arbitration all applications or appeals arising out of such arbitration under the provisions of the arbitration and conciliation act 199626 of 1996 t hat would ordinarily lie before any principal civil court of original jurisdiction in a district not being a high court shall be filed in and heard and disposed of by the commercial court
Commercial Court Acts,information from commercial court acts,Exercising territorial jurisdiction over such arbitration where such commercial court has been constituted 11 b ar of jurisdiction of commercial courts and commercial divisions notwithstanding anything contained in this act a commercial court or a commercial division shall not entertain or decide any suit application or proceedings relating to any commercial dispute in respect of which the jurisdiction o
Commercial Court Acts,information from commercial court acts,F the civil court is either expressly or impliedly barred under any other law for the time being in force 7 chapter iii specified value 12 determination of specified value 1 the specified value of the subject matter of the commercial dispute in a suit appeal or application shall be determined in the following manner a
